 Example 2 - Grass Field Problem (Hupselse Beek 1982)                           
                      
 
 Program CHAIN_2D
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -    


 Time  ***    120.0000 ***

    n    x(n)   z(n)       Q(n)      Q(n+1) ...
 Time  ***    243.0000 ***

    n    x(n)   z(n)       Q(n)      Q(n+1) ...

    1      .0   230.0   .250E-01   .250E-01
    3      .0   229.0   .000E+00   .000E+00
    5      .0   228.0   .000E+00   .000E+00
    7      .0   226.0   .000E+00   .000E+00
    9      .0   224.0   .000E+00   .000E+00
   11      .0   220.0   .000E+00   .000E+00
   13      .0   215.0   .000E+00   .000E+00
   15      .0   210.0   .000E+00   .000E+00
   17      .0   205.0   .000E+00   .000E+00
   19      .0   200.0   .000E+00   .000E+00
   21      .0   190.0   .000E+00   .000E+00
   23      .0   180.0   .000E+00   .000E+00
   25      .0   170.0   .000E+00   .000E+00
   27      .0   160.0   .000E+00   .000E+00
   29      .0   150.0   .000E+00   .000E+00
   31      .0   140.0   .000E+00   .000E+00
   33      .0   130.0   .000E+00   .000E+00
   35      .0   120.0   .000E+00   .000E+00
   37      .0   110.0   .000E+00   .000E+00
   39      .0   100.0   .000E+00   .000E+00
   41      .0    90.0   .000E+00   .000E+00
   43      .0    80.0   .000E+00   .000E+00
   45      .0    70.0   .000E+00   .000E+00
   47      .0    60.0   .000E+00   .000E+00
   49      .0    50.0   .000E+00   .000E+00
   51      .0    40.0   .000E+00   .000E+00
   53      .0    30.0   .000E+00   .000E+00
   55      .0    20.0   .000E+00   .000E+00
   57      .0    10.0   .000E+00   .000E+00
   59      .0     5.0   .000E+00   .000E+00
   61      .0     2.0   .000E+00   .000E+00
   63      .0     1.0   .000E+00   .000E+00
   65      .0      .0  -.365E-03  -.365E-03


 Time  ***    273.0000 ***

    n    x(n)   z(n)       Q(n)      Q(n+1) ...

    1      .0   230.0   .520E+00   .520E+00
    3      .0   229.0   .000E+00   .000E+00
    5      .0   228.0   .000E+00   .000E+00
    7      .0   226.0   .000E+00   .000E+00
    9      .0   224.0   .000E+00   .000E+00
   11      .0   220.0   .000E+00   .000E+00
   13      .0   215.0   .000E+00   .000E+00
   15      .0   210.0   .000E+00   .000E+00
   17      .0   205.0   .000E+00   .000E+00
   19      .0   200.0   .000E+00   .000E+00
   21      .0   190.0   .000E+00   .000E+00
   23      .0   180.0   .000E+00   .000E+00
   25      .0   170.0   .000E+00   .000E+00
   27      .0   160.0   .000E+00   .000E+00
   29      .0   150.0   .000E+00   .000E+00
   31      .0   140.0   .000E+00   .000E+00
   33      .0   130.0   .000E+00   .000E+00
   35      .0   120.0   .000E+00   .000E+00
   37      .0   110.0   .000E+00   .000E+00
   39      .0   100.0   .000E+00   .000E+00
   41      .0    90.0   .000E+00   .000E+00
   43      .0    80.0   .000E+00   .000E+00
   45      .0    70.0   .000E+00   .000E+00
   47      .0    60.0   .000E+00   .000E+00
   49      .0    50.0   .000E+00   .000E+00
   51      .0    40.0   .000E+00   .000E+00
   53      .0    30.0   .000E+00   .000E+00
   55      .0    20.0   .000E+00   .000E+00
   57      .0    10.0   .000E+00   .000E+00
   59      .0     5.0   .000E+00   .000E+00
   61      .0     2.0   .000E+00   .000E+00
   63      .0     1.0   .000E+00   .000E+00
   65      .0      .0  -.235E-03  -.235E-03
