 Example 2 - Grass Field Problem (Hupselse Beek 1982)                    
 
 Program SWMS_3D
 Date:  21. 7.    Time:  12:34:19
 Time dependent boundary conditions
 Units: L = cm   , T = day  , M = -    
 All fluxes (v) are positive out of the region

     Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vKode5     vKode6 ...
      [T]      [L/T]       [L/T]     [L/T]       [L/T]      [L3/T]     [L3/T]    [L3/T]      [L3/T]     [L3/T]

     90.0200   .000E+00   .160E+00   .000E+00   .160E+00   .388E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.0458   .000E+00   .160E+00   .000E+00   .160E+00   .387E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.0799   .000E+00   .160E+00   .000E+00   .160E+00   .385E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.1237   .000E+00   .160E+00   .000E+00   .160E+00   .384E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.1821   .000E+00   .160E+00   .000E+00   .160E+00   .383E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.2565   .000E+00   .160E+00   .000E+00   .160E+00   .381E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.3494   .000E+00   .160E+00   .000E+00   .160E+00   .379E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.4795   .000E+00   .160E+00   .000E+00   .160E+00   .376E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.6530   .000E+00   .160E+00   .000E+00   .160E+00   .372E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.8265   .000E+00   .160E+00   .000E+00   .160E+00   .367E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.0000   .000E+00   .160E+00   .000E+00   .160E+00   .362E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.2500  -.700E-01   .180E+00  -.700E-01   .180E+00   .357E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.6250  -.700E-01   .180E+00  -.700E-01   .180E+00   .350E-01   .000E+00   .000E+00   .000E+00   .000E+00
     92.0000  -.700E-01   .180E+00  -.700E-01   .180E+00   .341E-01   .000E+00   .000E+00   .000E+00   .000E+00
     92.5000  -.200E-01   .130E+00  -.200E-01   .130E+00   .334E-01   .000E+00   .000E+00   .000E+00   .000E+00
     93.0000  -.200E-01   .130E+00  -.200E-01   .130E+00   .325E-01   .000E+00   .000E+00   .000E+00   .000E+00
     93.5000   .000E+00   .200E+00   .000E+00   .200E+00   .316E-01   .000E+00   .000E+00   .000E+00   .000E+00
     94.0000   .000E+00   .200E+00   .000E+00   .200E+00   .304E-01   .000E+00   .000E+00   .000E+00   .000E+00
     94.5000   .000E+00   .280E+00   .000E+00   .280E+00   .291E-01   .000E+00   .000E+00   .000E+00   .000E+00
     95.0000   .000E+00   .280E+00   .000E+00   .280E+00   .276E-01   .000E+00   .000E+00   .000E+00   .000E+00
     95.5000  -.700E-01   .180E+00  -.700E-01   .180E+00   .262E-01   .000E+00   .000E+00   .000E+00   .000E+00
     96.0000  -.700E-01   .180E+00  -.700E-01   .180E+00   .253E-01   .000E+00   .000E+00   .000E+00   .000E+00
     96.5000  -.290E+00   .800E-01  -.290E+00   .800E-01   .246E-01   .000E+00   .000E+00   .000E+00   .000E+00
     97.0000  -.290E+00   .800E-01  -.290E+00   .800E-01   .247E-01   .000E+00   .000E+00   .000E+00   .000E+00
     97.5000  -.440E+00   .140E+00  -.440E+00   .140E+00   .252E-01   .000E+00   .000E+00   .000E+00   .000E+00
     98.0000  -.440E+00   .140E+00  -.440E+00   .140E+00   .262E-01   .000E+00   .000E+00   .000E+00   .000E+00
     98.5000  -.200E+00   .110E+00  -.200E+00   .110E+00   .275E-01   .000E+00   .000E+00   .000E+00   .000E+00
     99.0000  -.200E+00   .110E+00  -.200E+00   .110E+00   .284E-01   .000E+00   .000E+00   .000E+00   .000E+00
     99.5000  -.290E+00   .110E+00  -.290E+00   .110E+00   .289E-01   .000E+00   .000E+00   .000E+00   .000E+00
    100.0000  -.290E+00   .110E+00  -.290E+00   .110E+00   .296E-01   .000E+00   .000E+00   .000E+00   .000E+00
    100.5000  -.320E+00   .110E+00  -.320E+00   .110E+00   .305E-01   .000E+00   .000E+00   .000E+00   .000E+00
    101.0000  -.320E+00   .110E+00  -.320E+00   .110E+00   .315E-01   .000E+00   .000E+00   .000E+00   .000E+00
    101.5000  -.490E+00   .110E+00  -.490E+00   .110E+00   .327E-01   .000E+00   .000E+00   .000E+00   .000E+00
    102.0000  -.490E+00   .110E+00  -.490E+00   .110E+00   .347E-01   .000E+00   .000E+00   .000E+00   .000E+00
    102.5000  -.100E-01   .160E+00  -.100E-01   .160E+00   .374E-01   .000E+00   .000E+00   .000E+00   .000E+00
    103.0000  -.100E-01   .160E+00  -.100E-01   .160E+00   .372E-01   .000E+00   .000E+00   .000E+00   .000E+00
    103.5000   .000E+00   .170E+00   .000E+00   .170E+00   .361E-01   .000E+00   .000E+00   .000E+00   .000E+00
    104.0000   .000E+00   .170E+00   .000E+00   .170E+00   .347E-01   .000E+00   .000E+00   .000E+00   .000E+00
    104.5000   .000E+00   .220E+00   .000E+00   .220E+00   .333E-01   .000E+00   .000E+00   .000E+00   .000E+00
    105.0000   .000E+00   .220E+00   .000E+00   .220E+00   .318E-01   .000E+00   .000E+00   .000E+00   .000E+00
    105.5000   .000E+00   .210E+00   .000E+00   .210E+00   .303E-01   .000E+00   .000E+00   .000E+00   .000E+00
    106.0000   .000E+00   .210E+00   .000E+00   .210E+00   .290E-01   .000E+00   .000E+00   .000E+00   .000E+00
    106.5000   .000E+00   .230E+00   .000E+00   .230E+00   .277E-01   .000E+00   .000E+00   .000E+00   .000E+00
    107.0000   .000E+00   .230E+00   .000E+00   .230E+00   .265E-01   .000E+00   .000E+00   .000E+00   .000E+00
    107.5000   .000E+00   .230E+00   .000E+00   .230E+00   .253E-01   .000E+00   .000E+00   .000E+00   .000E+00
    108.0000   .000E+00   .230E+00   .000E+00   .230E+00   .242E-01   .000E+00   .000E+00   .000E+00   .000E+00
    108.5000   .000E+00   .240E+00   .000E+00   .240E+00   .232E-01   .000E+00   .000E+00   .000E+00   .000E+00
    109.0000   .000E+00   .240E+00   .000E+00   .240E+00   .223E-01   .000E+00   .000E+00   .000E+00   .000E+00
    109.5000   .000E+00   .180E+00   .000E+00   .180E+00   .213E-01   .000E+00   .000E+00   .000E+00   .000E+00
    110.0000   .000E+00   .180E+00   .000E+00   .180E+00   .206E-01   .000E+00   .000E+00   .000E+00   .000E+00
    110.5000   .000E+00   .150E+00   .000E+00   .150E+00   .199E-01   .000E+00   .000E+00   .000E+00   .000E+00
    111.0000   .000E+00   .150E+00   .000E+00   .150E+00   .193E-01   .000E+00   .000E+00   .000E+00   .000E+00
    111.5000   .000E+00   .190E+00   .000E+00   .190E+00   .188E-01   .000E+00   .000E+00   .000E+00   .000E+00
    112.0000   .000E+00   .190E+00   .000E+00   .190E+00   .182E-01   .000E+00   .000E+00   .000E+00   .000E+00
    112.5000  -.100E-01   .150E+00  -.100E-01   .150E+00   .177E-01   .000E+00   .000E+00   .000E+00   .000E+00
    113.0000  -.100E-01   .150E+00  -.100E-01   .150E+00   .172E-01   .000E+00   .000E+00   .000E+00   .000E+00
    113.5000  -.100E-01   .220E+00  -.100E-01   .220E+00   .168E-01   .000E+00   .000E+00   .000E+00   .000E+00
    114.0000  -.100E-01   .220E+00  -.100E-01   .220E+00   .163E-01   .000E+00   .000E+00   .000E+00   .000E+00
    114.5000   .000E+00   .230E+00   .000E+00   .230E+00   .158E-01   .000E+00   .000E+00   .000E+00   .000E+00
    115.0000   .000E+00   .230E+00   .000E+00   .230E+00   .153E-01   .000E+00   .000E+00   .000E+00   .000E+00
    115.5000  -.200E-01   .200E+00  -.200E-01   .200E+00   .148E-01   .000E+00   .000E+00   .000E+00   .000E+00
    116.0000  -.200E-01   .200E+00  -.200E-01   .200E+00   .144E-01   .000E+00   .000E+00   .000E+00   .000E+00
    116.5000   .000E+00   .170E+00   .000E+00   .170E+00   .140E-01   .000E+00   .000E+00   .000E+00   .000E+00
    117.0000   .000E+00   .170E+00   .000E+00   .170E+00   .136E-01   .000E+00   .000E+00   .000E+00   .000E+00
    117.5000  -.200E-01   .140E+00  -.200E-01   .140E+00   .133E-01   .000E+00   .000E+00   .000E+00   .000E+00
    118.0000  -.200E-01   .140E+00  -.200E-01   .140E+00   .130E-01   .000E+00   .000E+00   .000E+00   .000E+00
    118.5000  -.260E+00   .130E+00  -.260E+00   .130E+00   .127E-01   .000E+00   .000E+00   .000E+00   .000E+00
    119.0000  -.260E+00   .130E+00  -.260E+00   .130E+00   .125E-01   .000E+00   .000E+00   .000E+00   .000E+00
    119.5000  -.240E+00   .110E+00  -.240E+00   .110E+00   .125E-01   .000E+00   .000E+00   .000E+00   .000E+00
    120.0000  -.240E+00   .110E+00  -.240E+00   .110E+00   .125E-01   .000E+00   .000E+00   .000E+00   .000E+00
    120.5000  -.610E+00   .800E-01  -.610E+00   .800E-01   .127E-01   .000E+00   .000E+00   .000E+00   .000E+00
    121.0000  -.610E+00   .800E-01  -.610E+00   .800E-01   .130E-01   .000E+00   .000E+00   .000E+00   .000E+00
    121.5000   .000E+00   .210E+00   .000E+00   .210E+00   .136E-01   .000E+00   .000E+00   .000E+00   .000E+00
    122.0000   .000E+00   .210E+00   .000E+00   .210E+00   .140E-01   .000E+00   .000E+00   .000E+00   .000E+00
    122.5000  -.190E+00   .140E+00  -.190E+00   .140E+00   .141E-01   .000E+00   .000E+00   .000E+00   .000E+00
    123.0000  -.190E+00   .140E+00  -.190E+00   .140E+00   .142E-01   .000E+00   .000E+00   .000E+00   .000E+00
    123.5000  -.170E+00   .210E+00  -.170E+00   .210E+00   .142E-01   .000E+00   .000E+00   .000E+00   .000E+00
    124.0000  -.170E+00   .210E+00  -.170E+00   .210E+00   .141E-01   .000E+00   .000E+00   .000E+00   .000E+00
    124.5000  -.780E+00   .700E-01  -.780E+00   .700E-01   .141E-01   .000E+00   .000E+00   .000E+00   .000E+00
    125.0000  -.780E+00   .700E-01  -.780E+00   .700E-01   .145E-01   .000E+00   .000E+00   .000E+00   .000E+00
    125.5000  -.118E+01   .100E+00  -.118E+01   .100E+00   .154E-01   .000E+00   .000E+00   .000E+00   .000E+00
    126.0000  -.118E+01   .100E+00  -.118E+01   .100E+00   .173E-01   .000E+00   .000E+00   .000E+00   .000E+00
    126.5000  -.680E+00   .100E+00  -.680E+00   .100E+00   .206E-01   .000E+00   .000E+00   .000E+00   .000E+00
    127.0000  -.680E+00   .100E+00  -.680E+00   .100E+00   .242E-01   .000E+00   .000E+00   .000E+00   .000E+00
    127.5000   .000E+00   .160E+00   .000E+00   .160E+00   .279E-01   .000E+00   .000E+00   .000E+00   .000E+00
    128.0000   .000E+00   .160E+00   .000E+00   .160E+00   .290E-01   .000E+00   .000E+00   .000E+00   .000E+00
    128.5000   .000E+00   .260E+00   .000E+00   .260E+00   .287E-01   .000E+00   .000E+00   .000E+00   .000E+00
    129.0000   .000E+00   .260E+00   .000E+00   .260E+00   .276E-01   .000E+00   .000E+00   .000E+00   .000E+00
    129.5000   .000E+00   .260E+00   .000E+00   .260E+00   .263E-01   .000E+00   .000E+00   .000E+00   .000E+00
    130.0000   .000E+00   .260E+00   .000E+00   .260E+00   .250E-01   .000E+00   .000E+00   .000E+00   .000E+00
    130.5000   .000E+00   .250E+00   .000E+00   .250E+00   .239E-01   .000E+00   .000E+00   .000E+00   .000E+00
    131.0000   .000E+00   .250E+00   .000E+00   .250E+00   .228E-01   .000E+00   .000E+00   .000E+00   .000E+00
    131.5000   .000E+00   .310E+00   .000E+00   .310E+00   .218E-01   .000E+00   .000E+00   .000E+00   .000E+00
    132.0000   .000E+00   .310E+00   .000E+00   .310E+00   .208E-01   .000E+00   .000E+00   .000E+00   .000E+00
    132.5000   .000E+00   .350E+00   .000E+00   .350E+00   .197E-01   .000E+00   .000E+00   .000E+00   .000E+00
    133.0000   .000E+00   .350E+00   .000E+00   .350E+00   .187E-01   .000E+00   .000E+00   .000E+00   .000E+00
    133.5000   .000E+00   .410E+00   .000E+00   .410E+00   .178E-01   .000E+00   .000E+00   .000E+00   .000E+00
    134.0000   .000E+00   .410E+00   .000E+00   .410E+00   .168E-01   .000E+00   .000E+00   .000E+00   .000E+00
    134.5000   .000E+00   .390E+00   .000E+00   .390E+00   .159E-01   .000E+00   .000E+00   .000E+00   .000E+00
    135.0000   .000E+00   .390E+00   .000E+00   .390E+00   .150E-01   .000E+00   .000E+00   .000E+00   .000E+00
    135.5000   .000E+00   .400E+00   .000E+00   .400E+00   .142E-01   .000E+00   .000E+00   .000E+00   .000E+00
    136.0000   .000E+00   .400E+00   .000E+00   .400E+00   .135E-01   .000E+00   .000E+00   .000E+00   .000E+00
    136.5000  -.190E+00   .170E+00  -.190E+00   .170E+00   .128E-01   .000E+00   .000E+00   .000E+00   .000E+00
    137.0000  -.190E+00   .170E+00  -.190E+00   .170E+00   .124E-01   .000E+00   .000E+00   .000E+00   .000E+00
    137.5000  -.260E+00   .250E+00  -.260E+00   .250E+00   .121E-01   .000E+00   .000E+00   .000E+00   .000E+00
    138.0000  -.260E+00   .250E+00  -.260E+00   .250E+00   .119E-01   .000E+00   .000E+00   .000E+00   .000E+00
    138.5000  -.100E-01   .290E+00  -.100E-01   .290E+00   .117E-01   .000E+00   .000E+00   .000E+00   .000E+00
    139.0000  -.100E-01   .290E+00  -.100E-01   .290E+00   .115E-01   .000E+00   .000E+00   .000E+00   .000E+00
    139.5000  -.200E+00   .150E+00  -.200E+00   .150E+00   .113E-01   .000E+00   .000E+00   .000E+00   .000E+00
    140.0000  -.200E+00   .150E+00  -.200E+00   .150E+00   .111E-01   .000E+00   .000E+00   .000E+00   .000E+00
    140.5000   .000E+00   .160E+00   .000E+00   .160E+00   .110E-01   .000E+00   .000E+00   .000E+00   .000E+00
    141.0000   .000E+00   .160E+00   .000E+00   .160E+00   .109E-01   .000E+00   .000E+00   .000E+00   .000E+00
    141.5000  -.250E+00   .120E+00  -.250E+00   .120E+00   .108E-01   .000E+00   .000E+00   .000E+00   .000E+00
    142.0000  -.250E+00   .120E+00  -.250E+00   .120E+00   .107E-01   .000E+00   .000E+00   .000E+00   .000E+00
    142.5000  -.200E+00   .220E+00  -.200E+00   .220E+00   .107E-01   .000E+00   .000E+00   .000E+00   .000E+00
    143.0000  -.200E+00   .220E+00  -.200E+00   .220E+00   .107E-01   .000E+00   .000E+00   .000E+00   .000E+00
    143.5000  -.700E-01   .190E+00  -.700E-01   .190E+00   .106E-01   .000E+00   .000E+00   .000E+00   .000E+00
    144.0000  -.700E-01   .190E+00  -.700E-01   .190E+00   .106E-01   .000E+00   .000E+00   .000E+00   .000E+00
    144.5000   .000E+00   .270E+00   .000E+00   .270E+00   .105E-01   .000E+00   .000E+00   .000E+00   .000E+00
    145.0000   .000E+00   .270E+00   .000E+00   .270E+00   .104E-01   .000E+00   .000E+00   .000E+00   .000E+00
    145.5000   .000E+00   .440E+00   .000E+00   .440E+00   .101E-01   .000E+00   .000E+00   .000E+00   .000E+00
    146.0000   .000E+00   .440E+00   .000E+00   .440E+00   .984E-02   .000E+00   .000E+00   .000E+00   .000E+00
    146.5000  -.290E+00   .390E+00  -.290E+00   .390E+00   .947E-02   .000E+00   .000E+00   .000E+00   .000E+00
    147.0000  -.290E+00   .390E+00  -.290E+00   .390E+00   .913E-02   .000E+00   .000E+00   .000E+00   .000E+00
    147.5000  -.100E-01   .230E+00  -.100E-01   .230E+00   .884E-02   .000E+00   .000E+00   .000E+00   .000E+00
    148.0000  -.100E-01   .230E+00  -.100E-01   .230E+00   .862E-02   .000E+00   .000E+00   .000E+00   .000E+00
    148.5000   .000E+00   .310E+00   .000E+00   .310E+00   .842E-02   .000E+00   .000E+00   .000E+00   .000E+00
    149.0000   .000E+00   .310E+00   .000E+00   .310E+00   .821E-02   .000E+00   .000E+00   .000E+00   .000E+00
    149.5000   .000E+00   .420E+00   .000E+00   .420E+00   .799E-02   .000E+00   .000E+00   .000E+00   .000E+00
    150.0000   .000E+00   .420E+00   .000E+00   .420E+00   .773E-02   .000E+00   .000E+00   .000E+00   .000E+00
    150.5000   .000E+00   .430E+00   .000E+00   .430E+00   .747E-02   .000E+00   .000E+00   .000E+00   .000E+00
    151.0000   .000E+00   .430E+00   .000E+00   .430E+00   .719E-02   .000E+00   .000E+00   .000E+00   .000E+00
    151.5000   .000E+00   .400E+00   .000E+00   .400E+00   .692E-02   .000E+00   .000E+00   .000E+00   .000E+00
    152.0000   .000E+00   .400E+00   .000E+00   .400E+00   .665E-02   .000E+00   .000E+00   .000E+00   .000E+00
    152.5000   .000E+00   .460E+00   .000E+00   .460E+00   .639E-02   .000E+00   .000E+00   .000E+00   .000E+00
    153.0000   .000E+00   .460E+00   .000E+00   .460E+00   .615E-02   .000E+00   .000E+00   .000E+00   .000E+00
    153.5000   .000E+00   .420E+00   .000E+00   .420E+00   .590E-02   .000E+00   .000E+00   .000E+00   .000E+00
    154.0000   .000E+00   .420E+00   .000E+00   .420E+00   .567E-02   .000E+00   .000E+00   .000E+00   .000E+00
    154.5000   .000E+00   .280E+00   .000E+00   .280E+00   .545E-02   .000E+00   .000E+00   .000E+00   .000E+00
    155.0000   .000E+00   .280E+00   .000E+00   .280E+00   .525E-02   .000E+00   .000E+00   .000E+00   .000E+00
    155.5000   .000E+00   .440E+00   .000E+00   .440E+00   .506E-02   .000E+00   .000E+00   .000E+00   .000E+00
    156.0000   .000E+00   .440E+00   .000E+00   .440E+00   .489E-02   .000E+00   .000E+00   .000E+00   .000E+00
    156.5000  -.107E+01   .290E+00  -.107E+01   .290E+00   .472E-02   .000E+00   .000E+00   .000E+00   .000E+00
    157.0000  -.107E+01   .290E+00  -.107E+01   .290E+00   .457E-02   .000E+00   .000E+00   .000E+00   .000E+00
    157.5000  -.100E-01   .360E+00  -.100E-01   .360E+00   .447E-02   .000E+00   .000E+00   .000E+00   .000E+00
    158.0000  -.100E-01   .360E+00  -.100E-01   .360E+00   .441E-02   .000E+00   .000E+00   .000E+00   .000E+00
    158.5000   .000E+00   .360E+00   .000E+00   .360E+00   .436E-02   .000E+00   .000E+00   .000E+00   .000E+00
    159.0000   .000E+00   .360E+00   .000E+00   .360E+00   .431E-02   .000E+00   .000E+00   .000E+00   .000E+00
    159.5000   .000E+00   .300E+00   .000E+00   .300E+00   .426E-02   .000E+00   .000E+00   .000E+00   .000E+00
    160.0000   .000E+00   .300E+00   .000E+00   .300E+00   .419E-02   .000E+00   .000E+00   .000E+00   .000E+00
    160.5000   .000E+00   .340E+00   .000E+00   .340E+00   .412E-02   .000E+00   .000E+00   .000E+00   .000E+00
    161.0000   .000E+00   .340E+00   .000E+00   .340E+00   .404E-02   .000E+00   .000E+00   .000E+00   .000E+00
    161.5000  -.220E+00   .180E+00  -.220E+00   .180E+00   .395E-02   .000E+00   .000E+00   .000E+00   .000E+00
    162.0000  -.220E+00   .180E+00  -.220E+00   .180E+00   .387E-02   .000E+00   .000E+00   .000E+00   .000E+00
    162.5000  -.500E+00   .260E+00  -.500E+00   .260E+00   .379E-02   .000E+00   .000E+00   .000E+00   .000E+00
    163.0000  -.500E+00   .260E+00  -.500E+00   .260E+00   .373E-02   .000E+00   .000E+00   .000E+00   .000E+00
    163.5000  -.460E+00   .120E+00  -.460E+00   .120E+00   .368E-02   .000E+00   .000E+00   .000E+00   .000E+00
    164.0000  -.460E+00   .120E+00  -.460E+00   .120E+00   .365E-02   .000E+00   .000E+00   .000E+00   .000E+00
